,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
927,2020-21,ASDA STORES LIMITED,64719465,3235973.25,539328.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696644.37,2696644.0,,,,,-0.3700000001117587,1,0,0,0,0,0,1,0
928,2020-21,"ASHMOLEAN MUSEUM, UNIVERSITY OF OXFORD",1704,170.4,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,,,,,,,0,0,0,0,0,0,0,1
929,2020-21,B&Q,464556,23227.8,3871.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19356.5,23227.8,,,,,3871.2999999999993,1,0,0,0,0,0,0,0
930,2020-21,"BATH & NORTH EAST SOMERSET COUNCIL, MUSEUMS TRADING",1594,79.7,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.42,66.42,,,,,0.0,1,0,0,1,0,0,0,0
931,2020-21,BENTS GARDEN CENTRE LIMITED,16816,840.8,140.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.67,700.67,,,,,0.0,1,0,0,0,0,0,0,0
932,2020-21,BGC SOUTH LTD,20059,1054.7,175.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.9200000000001,,,,,,,0,0,0,0,0,0,0,1
933,2020-21,BIRDS (DERBY) LTD,286185,28618.5,4769.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23848.75,23850.0,,,,,1.25,1,0,1,0,0,0,0,0
934,2020-21,BLACKBURN ROVERS FOOTBALL & ATHLETIC LTD,1183,59.15,11.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.32,,,,,,,0,0,0,0,0,0,0,1
935,2020-21,BLACKPOOL PLEASURE BEACH LTD,5097,509.7,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.75,424.75,,,638.0,,0.0,1,0,0,0,0,0,0,0
936,2020-21,BLACKWELL UK LIMITED,31028,3102.8,517.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2585.67,,,,,,,0,0,0,0,0,0,0,1
